song,artist,date,loveSong
Baby By Me,50 Cent Featuring Ne-Yo,1/1/2010,0
Whataya Want From Me,Adam Lambert,1/1/2010,
Try Sleeping With A Broken Heart,Alicia Keys,1/1/2010,1
Empire State Of Mind (Part II) Broken Down,Alicia Keys,1/1/2010,0
Sweet Dreams,Beyonce,1/1/2010,1
Video Phone,Beyonce Featuring Lady Gaga,1/1/2010,
That's How Country Boys Roll,Billy Currington,1/1/2010,
Money To Blow,Birdman Featuring Lil Wayne & Drake,1/1/2010,0
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,1/1/2010,1
American Saturday Night,Brad Paisley,1/1/2010,
I Will Not Bow,Breaking Benjamin,1/1/2010,
3,Britney Spears,1/1/2010,0
Cowboy Casanova,Carrie Underwood,1/1/2010,
Evacuate The Dancefloor,Cascada,1/1/2010,0
Crawl,Chris Brown,1/1/2010,
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,1/1/2010,1
Gettin' You Home,Chris Young,1/1/2010,
Fallin' For You,Colbie Caillat,1/1/2010,1
Bonfire,Craig Morgan,1/1/2010,
History In The Making,Darius Rucker,1/1/2010,
Life After You,Daughtry,1/1/2010,
Sexy Chick,David Guetta Featuring Akon,1/1/2010,0
Red Light,David Nail,1/1/2010,
I Wanna Make You Close Your Eyes,Dierks Bentley,1/1/2010,
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",1/1/2010,0
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,1/1/2010,
Elevator,Eminem,1/1/2010,
Hell Breaks Loose,Eminem Featuring Dr. Dre,1/1/2010,0
Drop It Low,Ester Dean Featuring Chris Brown,1/1/2010,
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,1/1/2010,
Spotlight,Gucci Mane Featuring Usher,1/1/2010,
Replay,Iyaz,1/1/2010,1
Eight Second Ride,Jake Owen,1/1/2010,
The Truth,Jason Aldean,1/1/2010,
Whatcha Say,Jason Derulo,1/1/2010,1
In My Head,Jason Derulo,1/1/2010,
Down,Jay Sean Featuring Lil Wayne,1/1/2010,0
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,1/1/2010,1
Empire State Of Mind,Jay-Z + Alicia Keys,1/1/2010,0
Run This Town,"Jay-Z, Rihanna & Kanye West",1/1/2010,0
Body Language,Jesse McCartney Featuring T-Pain,1/1/2010,
Heartbreak Warfare,John Mayer,1/1/2010,1
Why Don't We Just Dance,Josh Turner,1/1/2010,
One Time,Justin Bieber,1/1/2010,
One Less Lonely Girl,Justin Bieber,1/1/2010,1
TiK ToK,Ke$ha,1/1/2010,0
Already Gone,Kelly Clarkson,1/1/2010,1
Use Somebody,Kings Of Leon,1/1/2010,1
Live Like We're Dying,Kris Allen,1/1/2010,0
Need You Now,Lady Antebellum,1/1/2010,1
Bad Romance,Lady Gaga,1/1/2010,1
Paparazzi,Lady Gaga,1/1/2010,1
Telephone,Lady Gaga Featuring Beyonce,1/1/2010,0
Halfway Gone,Lifehouse,1/1/2010,
On Fire,Lil Wayne,1/1/2010,
How Low,Ludacris,1/1/2010,0
Do I,Luke Bryan,1/1/2010,
I Am,Mary J. Blige,1/1/2010,
Bad Habits,Maxwell,1/1/2010,
It Kills Me,Melanie Fiona,1/1/2010,
Haven't Met You Yet,Michael Buble,1/1/2010,1
Party In The U.S.A.,Miley Cyrus,1/1/2010,0
White Liar,Miranda Lambert,1/1/2010,
Uprising,Muse,1/1/2010,0
Tie Me Down,New Boyz Featuring Ray J,1/1/2010,0
Never Gonna Be Alone,Nickelback,1/1/2010,
I Get It In,Omarion Featuring Gucci Mane,1/1/2010,
All The Right Moves,OneRepublic,1/1/2010,
According To You,Orianthi,1/1/2010,
Fireflies,Owl City,1/1/2010,0
1901,Phoenix,1/1/2010,
Shut It Down,Pitbull Featuring Akon,1/1/2010,
Consider Me Gone,Reba,1/1/2010,
Russian Roulette,Rihanna,1/1/2010,
Hard,Rihanna Featuring Jeezy,1/1/2010,0
Someday,Rob Thomas,1/1/2010,
Sex Therapy,Robin Thicke,1/1/2010,
Give It Up To Me,Shakira Featuring Lil Wayne,1/1/2010,
If You Only Knew,Shinedown,1/1/2010,
I Wanna Rock,Snoop Dogg,1/1/2010,
Gangsta Luv,Snoop Dogg Featuring The-Dream,1/1/2010,0
You Belong With Me,Taylor Swift,1/1/2010,1
Fifteen,Taylor Swift,1/1/2010,0
Meet Me Halfway,The Black Eyed Peas,1/1/2010,1
I Gotta Feeling,The Black Eyed Peas,1/1/2010,0
Imma Be,The Black Eyed Peas,1/1/2010,
Breakeven,The Script,1/1/2010,1
Kings And Queens,Thirty Seconds To Mars,1/1/2010,
Break,Three Days Grace,1/1/2010,
Southern Voice,Tim McGraw,1/1/2010,
Carry Out,Timbaland Featuring Justin Timberlake,1/1/2010,
Cryin' For Me (Wayman's Song),Toby Keith,1/1/2010,
"Hey, Soul Sister",Train,1/1/2010,1
I Invented Sex,Trey Songz Featuring Drake,1/1/2010,
Say Aah,Trey Songz Featuring Fabolous,1/1/2010,0
Smile,Uncle Kracker,1/1/2010,
Papers,Usher,1/1/2010,
Hey Daddy (Daddy's Home),Usher Featuring Plies,1/1/2010,
(If You're Wondering If I Want You To) I Want You To,Weezer,1/1/2010,
BedRock,Young Money Featuring Lloyd,1/1/2010,0
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,8/1/2010,
