song,artist,date
TiK ToK,Ke$ha,2010-01-01
Empire State Of Mind,Jay-Z + Alicia Keys,2010-01-01
Bad Romance,Lady Gaga,2010-01-01
Replay,Iyaz,2010-01-01
Fireflies,Owl City,2010-01-01
Sexy Chick,David Guetta Featuring Akon,2010-01-01
Whatcha Say,Jason Derulo,2010-01-01
Down,Jay Sean Featuring Lil Wayne,2010-01-01
Meet Me Halfway,The Black Eyed Peas,2010-01-01
3,Britney Spears,2010-01-01
Hard,Rihanna Featuring Jeezy,2010-01-01
BedRock,Young Money Featuring Lloyd,2010-01-01
How Low,Ludacris,2010-01-01
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,2010-01-01
Paparazzi,Lady Gaga,2010-01-01
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2010-01-01
Sweet Dreams,Beyonce,2010-01-01
Already Gone,Kelly Clarkson,2010-01-01
Party In The U.S.A.,Miley Cyrus,2010-01-01
I Gotta Feeling,The Black Eyed Peas,2010-01-01
Need You Now,Lady Antebellum,2010-01-01
You Belong With Me,Taylor Swift,2010-01-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010-01-01
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,2010-01-01
Use Somebody,Kings Of Leon,2010-01-01
Money To Blow,Birdman Featuring Lil Wayne & Drake,2010-01-01
Try Sleeping With A Broken Heart,Alicia Keys,2010-01-01
Evacuate The Dancefloor,Cascada,2010-01-01
Hell Breaks Loose,Eminem Featuring Dr. Dre,2010-01-01
Fifteen,Taylor Swift,2010-01-01
Tie Me Down,New Boyz Featuring Ray J,2010-01-01
"Hey, Soul Sister",Train,2010-01-01
Live Like We're Dying,Kris Allen,2010-01-01
Say Aah,Trey Songz Featuring Fabolous,2010-01-01
Gangsta Luv,Snoop Dogg Featuring The-Dream,2010-01-01
Baby By Me,50 Cent Featuring Ne-Yo,2010-01-01
Run This Town,"Jay-Z, Rihanna & Kanye West",2010-01-01
Telephone,Lady Gaga Featuring Beyonce,2010-01-01
Cowboy Casanova,Carrie Underwood,2010-01-01
Give It Up To Me,Shakira Featuring Lil Wayne,2010-01-01
According To You,Orianthi,2010-01-01
I Invented Sex,Trey Songz Featuring Drake,2010-01-01
Do I,Luke Bryan,2010-01-01
Fallin' For You,Colbie Caillat,2010-01-01
Consider Me Gone,Reba,2010-01-01
If You Only Knew,Shinedown,2010-01-01
One Time,Justin Bieber,2010-01-01
The Truth,Jason Aldean,2010-01-01
It Kills Me,Melanie Fiona,2010-01-01
Southern Voice,Tim McGraw,2010-01-01
Spotlight,Gucci Mane Featuring Usher,2010-01-01
White Liar,Miranda Lambert,2010-01-01
Russian Roulette,Rihanna,2010-01-01
Smile,Uncle Kracker,2010-01-01
