word,n
the,4193
i,4110
and,4048
you,4045
to,4040
a,4038
me,3882
in,3791
it,3752
my,3675
that,3564
on,3551
i'm,3387
like,3218
all,3154
your,3136
up,3122
of,3111
don't,3055
but,3006
know,2972
just,2951
with,2872
for,2868
so,2810
be,2799
got,2746
this,2695
we,2692
it's,2648
no,2636
when,2596
get,2540
is,2540
yeah,2522
out,2418
if,2285
what,2277
now,2216
go,2195
cause,2191
ain't,2140
do,2125
can,2091
love,2053
down,2026
they,2011
at,1952
make,1911
can't,1904
one,1884
back,1877
see,1838
time,1827
oh,1809
never,1790
say,1774
from,1766
was,1753
baby,1714
take,1693
not,1661
want,1661
let,1651
wanna,1630
way,1571
how,1553
right,1549
been,1543
that's,1528
she,1515
you're,1515
come,1485
her,1435
need,1429
tell,1425
off,1403
have,1377
some,1377
then,1360
girl,1315
too,1288
shit,1277
keep,1276
feel,1270
them,1255
here,1248
put,1232
fuck,1222
i'll,1207
these,1201
could,1189
had,1179
think,1179
give,1164
life,1146
still,1142
look,1130
where,1125
man,1122
are,1121
about,1119
bitch,1104
every,1104
night,1103
good,1094
as,1090
more,1078
or,1074
nigga,1070
em,1057
only,1039
he,1037
said,1031
gotta,1020
even,1014
through,1013
money,991
by,985
niggas,984
around,976
day,975
who,975
gon,968
heart,949
call,936
hit,918
i've,910
why,900
ever,889
there,883
bout,877
little,862
won't,862
over,859
made,853
better,852
than,844
new,843
gonna,837
really,831
mind,827
us,824
real,803
an,791
tryna,777
world,763
will,758
head,756
two,754
always,746
eyes,744
turn,742
bad,740
i'ma,740
did,732
would,728
leave,724
long,723
hold,720
thing,719
boy,717
hard,717
away,711
show,709
told,708
home,703
play,695
run,690
big,684
everything,683
done,678
our,675
stay,660
there's,657
much,650
his,649
til,649
stop,647
am,645
might,645
came,627
try,625
high,622
him,621
again,620
let's,620
talk,620
ass,618
face,616
well,614
find,612
young,608
same,601
into,598
ooh,592
left,591
uh,585
bitches,584
name,584
things,583
should,582
we're,582
old,576
live,573
nothing,572
god,566
ya,566
last,562
hey,559
going,556
â,553
lil,553
hear,551
something,545
top,541
before,540
light,538
crazy,532
whole,532
gone,529
were,527
pull,526
damn,520
another,519
what's,514
tonight,513
ride,510
first,508
watch,502
best,497
used,496
walk,494
other,493
side,492
thought,491
body,488
friends,487
i'd,487
took,487
fall,473
wrong,470
gettin,466
start,466
change,463
fuckin,462
while,462
die,461
beat,460
break,457
alone,456
mine,455
enough,454
everybody,447
song,446
work,445
went,444
people,442
seen,438
didn't,436
mean,434
talkin,434
nobody,433
end,431
myself,431
believe,429
lost,427
drop,425
game,424
hate,424
feeling,422
move,422
inside,419
hand,418
hands,418
kiss,417
lot,415
though,413
yo,412
hope,409
heard,408
wait,407
you'll,407
goin,406
own,406
city,405
looking,403
cold,400
pussy,396
round,396
without,395
getting,392
place,392
hot,391
girls,390
dance,385
next,385
y'all,385
white,384
roll,382
mama,380
lose,379
bring,378
close,378
fire,378
hell,378
times,376
car,375
nothin,375
care,374
guess,374
hundred,373
gave,370
days,369
maybe,369
fly,368
hoes,367
pop,367
smoke,367
house,366
red,365
door,364
lookin,363
line,361
open,360
ayy,359
black,359
wish,358
free,357
broke,356
please,354
remember,352
ask,350
party,349
sleep,347
many,346
coming,344
phone,344
she's,339
road,338
sure,338
town,338
okay,337
pain,337
straight,337
cut,335
dick,335
since,334
floor,333
blue,330
swear,330
check,329
diamonds,328
knew,328
throw,328
club,327
rock,327
touch,327
catch,326
low,326
slow,326
after,325
because,325
lights,325
three,325
ho,323
lie,322
you've,322
drink,321
kill,320
miss,318
sun,318
full,317
pretty,315
different,314
forever,312
rich,312
couldn't,310
room,310
somebody,310
drive,309
deep,307
far,307
forget,307
both,306
soul,302
until,302
else,301
sky,301
bag,296
pay,296
couple,295
ready,295
stand,295
together,295
bed,294
dark,293
fast,292
la,291
mad,290
someone,290
those,289
cash,287
feelin,286
million,286
cool,284
help,284
anything,283
blow,283
huh,282
fight,280
bought,279
front,279
smile,279
we'll,279
gang,278
found,276
doing,275
four,274
probably,274
water,273
tried,272
already,271
buy,271
ice,271
truth,271
bet,270
doin,269
caught,268
matter,268
runnin,268
their,268
talking,267
five,266
somethin,266
any,265
dream,265
comin,264
shoot,263
music,260
shot,260
under,260
wake,260
air,259
set,258
dead,256
feet,254
friend,253
hair,252
gold,251
past,250
sound,250
true,250
yes,250
stars,249
act,248
cry,248
sweet,248
trying,248
goes,247
listen,247
hurt,246
morning,246
streets,246
alright,245
word,245
eat,244
late,244
pick,244
s,244
fucked,243
rain,243
met,242
boys,241
street,241
trust,241
started,240
thinking,240
living,239
once,239
sometimes,239
half,237
livin,237
neck,236
spend,234
fucking,232
behind,231
has,231
running,231
turned,231
dreams,230
feels,230
save,229
years,229
block,228
comes,228
wasn't,228
fine,226
kind,226
saw,226
shawty,226
sit,226
woah,226
sayin,224
ah,223
daddy,222
reason,222
sing,222
ball,220
understand,220
wouldn't,220
yourself,220
kids,219
lips,219
summer,217
thinkin,217
perfect,216
hood,215
stuck,215
truck,214
king,213
lord,213
lay,212
meet,212
star,212
ten,212
beautiful,211
rap,211
wanted,211
alive,209
blood,209
playin,209
words,209
gun,208
mouth,208
they're,208
cup,207
knows,207
chance,206
scared,206
making,205
n,205
sorry,205
wrist,205
he's,204
loud,203
soon,203
whip,203
control,202
double,202
hide,202
o,201
thousand,201
makes,200
year,200
easy,199
ring,199
six,199
today,199
babe,198
school,198
strong,198
waiting,198
chain,197
count,197
dirty,196
g,195
most,195
number,195
broken,194
kick,194
nah,194
saying,193
moment,192
poppin,192
pray,192
t,192
type,192
wonder,191
being,190
second,190
shots,190
minute,189
family,188
send,188
bust,187
shine,187
takin,187
whatever,186
lonely,185
step,185
whoa,185
happy,184
must,184
paid,184
felt,183
hop,183
e,182
wild,182
dope,181
heaven,180
kinda,180
promise,178
son,178
taking,178
brain,177
green,177
shoes,177
tryin,177
b,176
burn,176
picture,176
stick,176
treat,176
playing,175
worth,175
bands,174
tears,174
ground,173
jump,173
nights,173
pass,173
shake,173
taste,173
bit,172
fell,172
gets,172
part,172
arms,171
fun,171
jeans,171
moon,171
trap,171
bank,170
dog,170
drunk,170
woo,170
bar,169
between,169
business,169
outside,169
feelings,167
sex,167
outta,166
paper,166
fake,165
falling,164
gucci,164
middle,164
slide,164
bottle,163
crib,163
ones,163
flow,162
makin,162
wet,162
called,161
spot,161
team,161
we've,161
clothes,160
wear,160
follow,158
lean,158
boss,157
few,157
rest,157
use,157
week,157
you'd,157
dollar,156
none,156
ran,156
single,156
speak,156
worry,156
y,156
may,155
nice,155
spent,155
yours,155
kid,154
cannot,153
pour,153
racks,153
safe,153
tired,153
along,152
d,152
thank,152
women,152
ways,151
woman,151
cars,150
de,150
blame,149
bottom,149
each,149
eye,149
fool,149
lit,149
push,149
war,149
breath,148
da,148
glass,148
radio,148
tight,148
peace,147
2,146
brother,146
deal,146
point,146
sick,146
skin,146
wall,146
window,146
apart,145
sippin,145
story,145
dj,144
hang,144
lies,144
yet,144
pocket,143
6,142
against,142
dress,142
guy,142
mmm,142
piece,142
wind,142
death,141
doesn't,141
finally,141
sign,141
born,140
knees,140
knock,140
case,139
laugh,139
walking,139
meant,138
ridin,138
afraid,137
country,137
dancing,137
favorite,137
future,137
space,137
changed,136
coupe,136
gas,136
rather,136
shut,136
smokin,136
who's,136
5,135
bottles,135
cross,135
drugs,135
homie,135
pack,135
tomorrow,135
does,134
funny,134
lady,134
loved,134
trippin,134
wine,134
brand,133
holding,133
quick,133
shirt,133
till,133
fame,132
land,132
m,132
weed,132
devil,131
everywhere,131
dollars,129
jet,129
less,129
track,129
actin,128
drip,128
movin,128
park,128
sell,128
win,128
calling,127
clean,127
fresh,127
great,127
plan,127
que,127
queen,127
switch,127
twenty,127
dumb,126
fore,126
loving,126
bang,125
clear,125
goodbye,125
grab,125
lo,125
seem,125
freak,124
haters,124
read,124
brought,123
fill,123
glock,123
k,123
nowhere,123
power,123
reach,123
write,123
cost,122
diamond,122
fear,122
fit,122
problems,122
somewhere,122
stupid,122
telling,122
rollin,121
breathe,120
foreign,120
iâ,120
known,120
smell,120
watching,120
wave,120
fat,119
singing,119
band,118
corner,118
honey,118
magic,118
moving,118
pockets,118
tear,118
doors,117
locked,117
mess,117
mirror,117
seat,117
sitting,117
suck,117
waste,117
watchin,117
key,116
problem,116
songs,116
4,115
brown,115
dawg,115
everyone,115
motherfuckin,115
standing,115
anymore,114
attention,114
j,114
later,114
momma,114
rolls,114
above,113
ahead,113
chest,113
fact,113
roof,113
seven,113
sittin,113
woke,113
bro,112
r,112
such,112
1,111
3,111
bentley,111
booty,111
empty,111
